"Unt1Name15ChrMx","Unit 2 Name","Unit ID 1","Unit ID 2","Weekly APR","Daily Volume (USD)","Weekly Volume (USD)","Platform","URL"
"ALGO","RST",1,367058172,0,0,0,"Algofi","https://info.algofi.org/pool-info/613275504"
"Choice","STKE",297995609,511484048,0,0,0,"Algofi","https://info.algofi.org/pool-info/613277839"
"ALGO","gALGO",0,793124631,0.4,9469,261530,"PactFi","https://app.pact.fi/add-liquidity/985089418"
"goETH","WETH",386195940,887406851,0,0,0,"PactFi","https://app.pact.fi/add-liquidity/1058935016"
"goBTC","WBTC",386192725,1058926737,0,0,0,"PactFi","https://app.pact.fi/add-liquidity/1058934586"
"USDC","goUSD",31566704,672913181,0,642,3917,"PactFi","https://app.pact.fi/add-liquidity/885102197"
"ALGO","USDC",0,31566704,7.1,17170,126252,"PactFi","https://app.pact.fi/add-liquidity/620995314"
"ALGO","DEFLY",0,470842789,0.4,887,2158,"PactFi","https://app.pact.fi/add-liquidity/1073558654"
"ALGO","USDC",0,31566704,4.4,11087,84608,"PactFi","https://app.pact.fi/add-liquidity/1073557308"
"USDC","xUSD",31566704,760037151,0,24,281,"PactFi","https://app.pact.fi/add-liquidity/1013729631"
"ALGO","goBTC",0,386192725,6.5,40773,72517,"PactFi","https://app.pact.fi/add-liquidity/1074982809"
"ALGO","goETH",0,386195940,6.1,21430,49371,"PactFi","https://app.pact.fi/add-liquidity/1076049166"
"ALGO","GARD",0,684649988,5,667,10336,"PactFi","https://app.pact.fi/add-liquidity/1076301648"
"ALGO","VEST",0,700965019,1.7,942,2775,"PactFi","https://app.pact.fi/add-liquidity/1076332137"
"ALGO","goBTC",0,386192725,11.1,24065,36282,"PactFi","https://app.pact.fi/add-liquidity/661744776"
"ALGO","Vote",0,452399768,0.2,4174,17748,"PactFi","https://app.pact.fi/add-liquidity/1075389128"
"ALGO","OPUL",0,287867876,13.9,9501,47236,"PactFi","https://app.pact.fi/add-liquidity/1073568060"
"ALGO","Finite",0,400593267,3,102,2540,"PactFi","https://app.pact.fi/add-liquidity/1074140605"
"ALGO","goETH",0,386195940,9.3,7674,22237,"PactFi","https://app.pact.fi/add-liquidity/645869114"
"USDC","Vote",31566704,452399768,0.3,2215,14664,"PactFi","https://app.pact.fi/add-liquidity/1075409914"
"SILVER$","goUSD",246519683,672913181,0.7,284,1306,"PactFi","https://app.pact.fi/add-liquidity/1082757372"
"USDC","VEST",31566704,700965019,4.2,448,1894,"PactFi","https://app.pact.fi/add-liquidity/1080436958"
"GOLD$","goUSD",246516580,672913181,0.8,275,1036,"PactFi","https://app.pact.fi/add-liquidity/836623984"
"USDC","OPUL",31566704,287867876,15.8,822,3490,"PactFi","https://app.pact.fi/add-liquidity/682942221"
"goBTC","Finite",386192725,400593267,2.2,26,505,"PactFi","https://app.pact.fi/add-liquidity/1074146922"
"ALGO","VYBE",0,558978094,0.6,159,458,"PactFi","https://app.pact.fi/add-liquidity/1075354880"
"USDC","Finite",31566704,400593267,4,68,823,"PactFi","https://app.pact.fi/add-liquidity/1074144036"
"ALGO","gALGO",0,793124631,0.2,21,112,"PactFi","https://app.pact.fi/add-liquidity/794882684"
"goBTC","Vote",386192725,452399768,0.2,1044,2731,"PactFi","https://app.pact.fi/add-liquidity/1075404856"
"ALGO","OPUL",0,287867876,14.9,1645,5191,"PactFi","https://app.pact.fi/add-liquidity/635146381"
